allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenges.12AssistStreakCount,challenges.abilityUses,challenges.acesBefore15Minutes,challenges.alliedJungleMonsterKills,challenges.baronBuffGoldAdvantageOverThreshold,challenges.baronTakedowns,challenges.blastConeOppositeOpponentCount,challenges.bountyGold,challenges.buffsStolen,challenges.completeSupportQuestInTime,challenges.controlWardsPlaced,challenges.damagePerMinute,challenges.damageTakenOnTeamPercentage,challenges.dancedWithRiftHerald,challenges.deathsByEnemyChamps,challenges.dodgeSkillShotsSmallWindow,challenges.doubleAces,challenges.dragonTakedowns,challenges.earliestBaron,challenges.earliestDragonTakedown,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.effectiveHealAndShielding,challenges.elderDragonKillsWithOpposingSoul,challenges.elderDragonMultikills,challenges.enemyChampionImmobilizations,challenges.enemyJungleMonsterKills,challenges.epicMonsterKillsNearEnemyJungler,challenges.epicMonsterKillsWithin30SecondsOfSpawn,challenges.epicMonsterSteals,challenges.epicMonsterStolenWithoutSmite,challenges.flawlessAces,challenges.fullTeamTakedown,challenges.gameLength,challenges.getTakedownsInAllLanesEarlyJungleAsLaner,challenges.goldPerMinute,challenges.hadOpenNexus,challenges.immobilizeAndKillWithAlly,challenges.initialBuffCount,challenges.initialCrabCount,challenges.jungleCsBefore10Minutes,challenges.junglerTakedownsNearDamagedEpicMonster,challenges.kTurretsDestroyedBeforePlatesFall,challenges.kda,challenges.killAfterHiddenWithAlly,challenges.killParticipation,challenges.killedChampTookFullTeamDamageSurvived,challenges.killingSprees,challenges.killsNearEnemyTurret,challenges.killsOnOtherLanesEarlyJungleAsLaner,challenges.killsOnRecentlyHealedByAramPack,challenges.killsUnderOwnTurret,challenges.killsWithHelpFromEpicMonster,challenges.knockEnemyIntoTeamAndKill,challenges.landSkillShotsEarlyGame,challenges.laneMinionsFirst10Minutes,challenges.laningPhaseGoldExpAdvantage,challenges.legendaryCount,challenges.lostAnInhibitor,challenges.maxCsAdvantageOnLaneOpponent,challenges.maxKillDeficit,challenges.maxLevelLeadLaneOpponent,challenges.moreEnemyJungleThanOpponent,challenges.multiKillOneSpell,challenges.multiTurretRiftHeraldCount,challenges.multikills,challenges.multikillsAfterAggressiveFlash,challenges.mythicItemUsed,challenges.outerTurretExecutesBefore10Minutes,challenges.outnumberedKills,challenges.outnumberedNexusKill,challenges.perfectDragonSoulsTaken,challenges.perfectGame,challenges.pickKillWithAlly,challenges.playedChampSelectPosition,challenges.poroExplosions,challenges.quickCleanse,challenges.quickFirstTurret,challenges.quickSoloKills,challenges.riftHeraldTakedowns,challenges.saveAllyFromDeath,challenges.scuttleCrabKills,challenges.skillshotsDodged,challenges.skillshotsHit,challenges.snowballsHit,challenges.soloBaronKills,challenges.soloKills,challenges.soloTurretsLategame,challenges.stealthWardsPlaced,challenges.survivedSingleDigitHpCount,challenges.survivedThreeImmobilizesInFight,challenges.takedownOnFirstTurret,challenges.takedowns,challenges.takedownsAfterGainingLevelAdvantage,challenges.takedownsBeforeJungleMinionSpawn,challenges.takedownsFirstXMinutes,challenges.takedownsInAlcove,challenges.takedownsInEnemyFountain,challenges.teamBaronKills,challenges.teamDamagePercentage,challenges.teamElderDragonKills,challenges.teamRiftHeraldKills,challenges.teleportTakedowns,challenges.threeWardsOneSweeperCount,challenges.tookLargeDamageSurvived,challenges.turretPlatesTaken,challenges.turretTakedowns,challenges.turretsTakenWithRiftHerald,challenges.twentyMinionsIn3SecondsCount,challenges.unseenRecalls,challenges.visionScoreAdvantageLaneOpponent,challenges.visionScorePerMinute,challenges.wardTakedowns,challenges.wardTakedownsBefore20M,challenges.wardsGuarded,perks.statPerks.defense,perks.statPerks.flex,perks.statPerks.offense,perks.styles,challenges.controlWardTimeCoverageInRiverOrEnemyHalf,challenges.junglerKillsEarlyJungle,challenges.killsOnLanersEarlyJungleAsJungler,challenges.highestChampionDamage,challenges.firstTurretKilledTime,challenges.highestCrowdControlScore,challenges.fasterSupportQuestCompletion,challenges.highestWardKills
0,2,11,0,0,0,2,19553,18,86,Garen,0,4,2,5723,13952,5723,59169,0,5,1,1,2,True,5,0,False,False,False,False,False,True,4,14994,13975,0,TOP,0,1,5,3047,3143,3742,6631,3075,1028,3340,26,3,9,TOP,43,5,2,850,13758,1696,2264,0,8,0,0,0,0,0,22,1,0,164176,17533,24509,21,0,kVBeu0Yp_E4x0GrErxJi347to59nm3dVscYRp1yOU46Dkproc2yxrnVM4nqxxDbvoUHzy15sIbiYCg,0,,,SOLO,0,119,40,101,6,5,4,4,12,6pvXLtyPWwFlbZO8UHKuAIOCvj9zuoUP_AimkfAGx1b9ZQI,189,scottytjohnson,False,100,TOP,51,2342,184673,23364,0,32452,3771,0,212,283,157,1,0,6738,4135,5677,1,1,9,0,0,36,1,6,16,True,0,266,0,0.0,1.0,1,0,300,0,0,1,598.5139037749191,0.21880898949499572,0,5,0,0,3,1983.7504494329485,1473.7781829337507,0,0.0,0,0,0,0.0,0,1,0,0,0,4,2342.2685816622234,0.0,384.0902726392531,0,0,0,0,0.0,0,0,4.0,5,0.47619047619047616,0,1.0,1,0.0,0,2,0,0,0,62,0,0,1,7.0,10,1,0.0,0,0,1,0,6631,0,2,0,0,0,15,1,0,0,0,0,0,0,0,8,0,0,0,2,1.0,15,0,5,0,20,0,0,0,0,0,1,0.19407697466638293,0,0,1.0,0,1,2,1,0,10,0,0.16683530807495117,0.9305723682617811,6,0,1,5002,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 717, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1965, 'var2': 400, 'var3': 0}, {'perk': 9105, 'var1': 21, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 377, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8429, 'var1': 69, 'var2': 19, 'var3': 11}, {'perk': 8451, 'var1': 284, 'var2': 0, 'var3': 0}], 'style': 8400}]",,,,,,,,
1,5,9,0,0,0,0,22273,18,5,XinZhao,0,11,4,5225,36328,5225,68255,0,9,3,1,1,True,9,1,False,False,False,False,False,True,8,17175,16925,0,JUNGLE,0,1,5,3153,6692,3026,6333,3047,3075,3364,27,4,14,JUNGLE,2,5,4,429,20800,3587,4185,0,145,0,0,0,0,0,2,2,0,258004,28046,28035,4225,0,m3qNEgUTjP6dilDtSix-Tpc2RQhYR2i8ys_3PcNUmunSfZUxcA0PwPXO0w7Im3C0ySifBRX8hCU8ZA,1,,,NONE,0,84,137,0,17,23,11,7,4,9Z9lIYTxR-pkCD2dEJcOESqc6jL8ztXUgSLeHxOBuezSKW4,326,PykeGawdx,False,100,JUNGLE,33,2342,320037,34189,0,38927,17816,0,95,682,238,1,1,41232,2555,6706,2,3,9,0,0,27,3,4,5,True,0,238,0,119.10000014305115,1.0,0,0,0,0,0,3,875.7970666494743,0.26247197811741674,0,9,3,0,3,1983.7504494329485,1473.7781829337507,0,0.0,0,0,24,4.0,0,1,0,0,0,4,2342.2685816622234,,439.9692921930724,0,6,2,1,52.000000059604645,1,0,2.5555555555555554,2,0.5476190476190477,0,2.0,4,,0,2,0,3,0,0,0,0,1,51.80000001192093,10,3,-38.500000059604645,0,0,3,1,6692,0,1,0,0,0,17,1,0,0,0,0,0,0,2,21,0,0,0,2,,2,0,5,0,23,0,0,4,0,0,1,0.283990136310924,0,0,,0,0,0,3,0,4,0,-0.13404029607772827,0.713732233550417,4,2,1,5002,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 698, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1482, 'var2': 460, 'var3': 0}, {'perk': 9104, 'var1': 15, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 795, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 11, 'var2': 1, 'var3': 5}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]",0.2127022070329893,0.0,1.0,,,,,
0,0,13,0,0,0,2,18723,18,127,Lissandra,0,3,10,2165,5795,2165,20389,0,7,7,1,0,True,0,2,False,False,False,False,False,True,0,16579,15650,0,MIDDLE,1,1,5,3020,3157,4630,4645,6655,3165,3340,34,2,9,MIDDLE,0,4,2,633,216825,32353,1575,0,4,0,0,0,0,0,0,3,0,7363,737,21479,581,0,v-1NbrVmBcuwbWYIhYc5bDll_8bLgLi-7ktRDNF2XzmmIDKKxk6GKOPQEVHRSZMN0hKv2SPcxrDtAg,0,,,SOLO,0,168,64,69,17,4,12,4,4,59YA4SaalyxEll7MdjLHjm9TLfOe4ipMVwzXbQWR1NmYH_s,576,Gremrin,False,100,MIDDLE,67,2342,230364,34918,0,25609,3062,0,239,377,191,1,0,6174,1826,2554,1,1,9,0,0,36,8,3,21,True,0,318,0,0.0,1.0,0,0,900,0,0,7,894.4703695180808,0.17267289812670347,0,7,2,0,1,1983.7504494329485,2116.277073084317,0,0.0,0,0,48,0.4000000059604645,0,0,0,0,0,4,2342.2685816622234,0.0,424.6947375774739,0,14,0,0,0.0,0,0,3.142857142857143,3,0.5238095238095238,0,1.0,0,0.0,0,3,0,0,13,68,0,0,1,121.40000000596046,10,4,0.0,0,0,1,0,6655,0,0,0,0,0,16,1,0,0,0,0,0,0,1,15,76,0,0,2,,13,0,0,0,22,0,0,4,0,0,1,0.2900452306118429,0,0,2.0,0,0,1,1,0,11,0,0.9244197607040405,0.9376891712799467,3,0,0,5002,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 1514, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 1077, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8226, 'var1': 250, 'var2': 1458, 'var3': 0}, {'perk': 8210, 'var1': 33, 'var2': 0, 'var3': 0}], 'style': 8200}]",0.06069458355784476,,,1.0,,,,
0,0,10,0,1,0,6,17617,17,222,Jinx,0,15,1,1663,19684,1663,11337,0,5,0,1,0,True,0,0,False,False,False,False,False,True,0,13836,12900,0,BOTTOM,0,1,5,1038,6671,3006,3085,3031,1053,3340,19,2,8,BOTTOM,825,6,2,742,6769,1474,2972,0,12,0,0,0,0,0,0,4,0,171305,12149,17188,21,0,V05GEQlnUdbke_erq-AZTjR_3GPSZ7VlZVXRD8D77AghF7Y0veNPUmtkRS_Atu26dEXgjXx-rWC0HA,0,,,CARRY,0,52,37,23,11,4,7,4,4,7C6Yjtc84RPgcZgvUtNqblvjzQRF1FlNpKgJW6N5N-IX3Uk,84,Penatrat0r,False,100,BOTTOM,22,2342,179817,14137,0,21236,5118,529,190,93,141,2,0,1743,513,1075,1,1,9,0,0,14,0,0,8,True,0,123,0,4.0,1.0,1,0,150,0,0,0,362.1424750547985,0.14318893270784325,0,5,2,0,2,1983.7504494329485,1473.7781829337507,0,529.8475341796875,0,0,10,0.0,0,0,0,0,0,4,2342.2685816622234,0.0,354.44520983032737,0,1,0,0,0.0,0,0,3.6,3,0.42857142857142855,0,1.0,1,0.0,0,1,0,0,1,51,0,0,1,0.0,10,2,0.0,0,0,1,0,6671,0,0,0,0,0,14,1,0,0,0,0,0,0,1,15,29,0,0,0,,8,0,2,0,18,0,0,2,0,0,1,0.11743004717775547,0,0,,0,0,0,1,0,9,0,-0.5468594431877136,0.36518008762223997,0,0,0,5002,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 12, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 2261, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 26, 'var2': 20, 'var3': 0}, {'perk': 8014, 'var1': 344, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]",,,,,,,,
0,2,28,0,0,0,0,17388,17,267,Nami,0,2,4,809,2200,809,19182,0,4,1,0,0,True,2,1,False,False,False,False,False,True,1,11032,8850,0,UTILITY,0,1,5,4005,3504,3158,3853,2055,3011,3364,23,1,2,BOTTOM,0,2,1,669,37758,11513,2730,0,0,0,0,0,0,0,3,5,0,6669,1540,26324,3591,0,vSKzTVbWLUq4jwVA8YB51VNcq5XITc4p4kH75AByvmaxEKhXqPug5IXb4R937ijl9_zmvIvvchJ-uA,0,,,SUPPORT,0,78,124,106,17,4,4,4,14,_4qNLoSsJMfEHUo5x_mw0yf0s38r0_1JKMuqLZcHb1-kQ0A,357,DocSeabas5,False,100,UTILITY,38,2342,45153,13779,3410,30086,22910,9413,22,350,100,5,0,725,725,1031,0,1,9,0,0,59,2,5,29,True,2,325,0,0.0,1.0,1,0,300,0,1,1,352.9757810457951,0.2028572015530408,0,4,3,0,1,1983.7504494329485,1805.043194602471,0,12823.978515625,0,0,30,0.0,0,0,0,0,0,4,2342.2685816622234,0.0,282.6120311020164,0,9,0,0,0.0,0,0,7.5,7,0.7142857142857143,0,,0,0.0,0,1,0,0,2,3,0,0,1,8.0,10,4,0.0,0,0,0,0,4005,0,1,0,0,0,24,1,0,0,0,0,0,1,0,18,27,0,0,1,,28,0,2,0,30,0,0,5,0,0,1,0.11445761123309466,0,0,,0,0,0,1,0,0,0,-0.09588426351547241,1.5174160495241187,5,2,1,5002,5008,5007,"[{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 1565, 'var2': 2679, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 1053, 'var3': 0}, {'perk': 8210, 'var1': 21, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 48, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 1452, 'var2': 0, 'var3': 0}, {'perk': 8453, 'var1': 1980, 'var2': 596, 'var3': 0}], 'style': 8400}]",,,,,,,,
0,2,9,1,0,0,0,20221,18,92,Riven,0,7,7,5851,8695,5851,49868,0,5,3,0,0,True,1,3,False,False,False,True,False,True,0,17818,15250,0,TOP,4,4,1,1037,6692,6035,3158,3074,3071,3364,21,2,7,JUNGLE,0,3,1,982,0,0,9759,0,35,0,0,0,0,0,12,6,0,258711,26994,22050,5630,0,D4e8balOFWof0YvO6gnlIUBmqHGu54msEJ7p-c6pzlET-lRDc-QUf3QcdhZeu4DITwnG8fwpujXgWw,0,,,NONE,0,432,76,146,27,8,14,6,4,E8TPom8lUtJIFW6h0ZH5XO9iDK1dI1dafM8NMkAg6Z8vq8w,715,FauxSho,False,200,TOP,36,2342,261287,28974,0,34476,7846,0,248,136,231,1,0,2576,1980,2666,4,4,6,0,0,31,3,2,11,False,0,681,0,10.5,,0,0,525,0,0,3,742.2263403568578,0.21728441181112335,0,5,2,0,0,1546.9987724939813,,1,0.0,0,0,55,14.100000083446503,0,0,0,0,0,0,2342.2685816622234,0.0,456.45451203604955,0,10,0,0,0.0,0,1,3.2,0,0.5333333333333333,0,2.0,2,0.0,0,0,0,5,1,69,1,0,0,65.6000000834465,0,2,0.0,0,0,0,0,6692,0,3,0,0,0,11,1,0,0,0,0,1,0,1,15,17,0,0,2,1.0,8,0,2,1,16,0,0,10,0,0,1,0.249422529819994,0,2,,0,0,5,4,5,12,0,-0.14298105239868164,0.7975181512526295,2,2,0,5002,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 541, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1332, 'var2': 320, 'var3': 0}, {'perk': 9105, 'var1': 11, 'var2': 40, 'var3': 0}, {'perk': 8299, 'var1': 1026, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 1502, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 75, 'var2': 0, 'var3': 0}], 'style': 8400}]",0.08924420053010056,,,,738.0633885780736,,,
0,2,5,0,0,0,0,16448,16,11,MasterYi,0,15,4,4137,64518,4137,45171,0,14,3,3,3,True,0,0,False,False,True,False,False,True,0,17815,15725,0,JUNGLE,1,2,1,3091,6672,3006,3153,6333,1031,3364,22,3,13,JUNGLE,1425,5,2,597,13616,1525,13737,0,122,0,0,0,0,0,9,7,0,191479,16184,28644,3367,1,d0qb9tzRzTpSdpNa-3gB6fdjVOl0Mt7MJC7AmcCL0sM5QnqrVLuq75LJM9DsBEyuoGmNdcxPkEKe0g,0,,,NONE,0,83,29,51,14,17,11,6,4,z8bMzxSQrOSpa1XtWyrEN-1O-6NWyjqGdy40VaxX9T3Thv8V,271,RICK N M0RTY,False,200,JUNGLE,14,2342,281386,29900,0,46941,17600,0,79,225,501,1,0,76290,12190,4559,1,3,6,0,0,32,3,5,4,False,0,177,0,69.00000011920929,,1,0,450,3,0,3,765.9265205729989,0.2958442442707262,0,14,6,0,3,1546.9987724939813,417.5273600029195,0,0.0,0,0,0,18.80000001192093,0,1,0,0,0,0,2342.2685816622234,,456.36455517685346,0,0,2,1,56.000000059604645,0,1,1.2857142857142858,0,0.6,0,2.0,5,,0,1,0,0,0,8,0,0,0,18.0,0,2,-43.500000059604645,0,0,3,1,6672,0,5,0,0,0,13,1,0,0,0,0,2,0,4,38,0,0,0,2,,1,0,0,0,18,0,0,10,0,0,1,0.2573868913432694,0,2,,0,0,6,3,5,3,0,0.15478813648223877,0.8242095338422611,5,1,0,5002,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 45, 'var2': 8, 'var3': 0}, {'perk': 9111, 'var1': 1077, 'var2': 360, 'var3': 0}, {'perk': 9104, 'var1': 9, 'var2': 10, 'var3': 0}, {'perk': 8014, 'var1': 542, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]",0.33369445633660827,0.0,3.0,,738.0633885780736,,,
0,0,5,1,1,0,0,13006,14,80,Pantheon,0,8,0,3400,4445,3400,24625,0,9,0,0,0,True,2,0,False,False,False,False,False,True,0,11603,11110,0,MIDDLE,0,0,1,6692,3142,3111,6696,1036,1036,3340,20,1,4,MIDDLE,0,2,1,552,2522,337,9165,0,4,0,0,0,0,0,8,8,0,82565,15736,16931,3159,0,iSZk5f38x7n47ulvVdjWWqiONSqJHyqBG1biYj1qDiTc8zqtOhQkCLAlJwZ7v4TdxWDOROIZXQtwaQ,0,,,SOLO,0,77,24,34,5,5,14,4,4,vbAN8loG6DbVtFP43a03uiDYAvpg3pnDKp88RbuxVxsCdGY,251,Lapislover,False,200,MIDDLE,20,2342,89036,17031,0,26782,1669,0,118,27,377,1,0,3948,958,685,1,3,6,0,0,19,0,3,9,False,0,140,0,0.0,,1,0,0,0,0,0,436.29386906166934,0.16879477875725254,0,9,7,0,0,1546.9987724939813,,0,0.0,0,0,19,0.0,0,0,0,0,0,0,2342.2685816622234,0.0,297.2297705632621,0,4,0,0,0.0,1,0,1.0,0,0.3,0,,2,0.0,0,0,1,0,2,47,0,0,0,5.0,0,1,0.0,0,0,0,0,6692,0,0,0,0,0,6,1,0,0,0,0,0,0,0,39,12,0,0,3,,9,0,0,1,9,0,0,7,0,0,1,0.14661500764577293,0,2,,0,0,3,3,5,5,0,-0.48036283254623413,0.4872581286185473,3,1,0,5003,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 1684, 'var2': 993, 'var3': 690}, {'perk': 9111, 'var1': 441, 'var2': 180, 'var3': 0}, {'perk': 9105, 'var1': 19, 'var2': 30, 'var3': 0}, {'perk': 8014, 'var1': 341, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 549, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 320, 'var2': 4, 'var3': 0}], 'style': 8100}]",,,,,738.0633885780736,,,
0,2,2,0,0,0,0,14210,15,51,Caitlyn,0,0,1,7826,12684,7826,35608,0,8,0,0,0,True,0,0,False,True,False,False,False,True,0,14701,12350,0,BOTTOM,0,1,1,6671,2420,3006,1055,3031,3072,3363,15,1,5,BOTTOM,1562,2,1,641,1739,1739,13421,0,43,0,0,0,0,0,2,9,0,255742,30211,15336,5645,0,QNbC0oRKJq_ZHa0SBmUN2pwIhLKfYfJPAc1FZDFXmvc_CqrMtCIlMUPW651tQu-xLs8QiBX6-78bWA,0,,,CARRY,0,43,52,27,4,6,7,4,4,aZa-Qj7yLvzyx-uiH3bIr5UHQqTujROzxxCNmaW9oCcO7rY,264,TKOPanda,False,200,BOTTOM,50,2342,263897,33463,0,29698,11624,786,232,214,274,3,0,6415,1512,940,2,4,6,0,0,31,0,4,10,False,0,126,0,31.600000083446503,,0,0,0,1,0,0,857.211819438368,0.1871732835037188,0,8,6,0,0,1546.9987724939813,,0,786.959716796875,0,0,24,4.0,0,0,0,0,0,0,2342.2685816622234,0.0,376.5931589249121,0,2,0,0,0.0,0,0,0.875,0,0.23333333333333334,0,,3,1.0,0,0,0,0,10,87,0,0,0,100.0,0,2,0.0,0,0,0,0,6671,0,1,0,0,0,5,1,0,0,0,0,0,0,2,32,41,0,0,1,,5,0,2,0,7,0,1,2,0,0,1,0.28806299233886,0,2,,0,0,3,4,5,11,0,1.2068207263946533,0.805887015194477,4,1,0,5002,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 2753, 'var2': 2237, 'var3': 0}, {'perk': 8009, 'var1': 1585, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 30, 'var2': 30, 'var3': 0}, {'perk': 8014, 'var1': 293, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 27, 'var2': 40, 'var3': 0}, {'perk': 8236, 'var1': 28, 'var2': 0, 'var3': 0}], 'style': 8200}]",,,,,738.0633885780736,1.0,,
0,2,7,0,0,0,0,12761,14,40,Janna,0,7,5,1713,2638,1713,15217,0,6,3,0,0,True,0,3,True,False,False,False,False,True,10,9162,8775,0,UTILITY,0,1,1,3853,2065,3222,3504,3158,0,3364,22,0,1,BOTTOM,0,0,1,668,12877,5644,7380,0,0,0,0,0,0,0,1,10,0,3768,1110,12340,1627,0,pUKBWWbFdjsZsy5JU3h_90DAzch2vahRsIIarIH9YVFKprFAqCe7CfieiZlpQwphfVNgADMQQo2L6w,0,,,SUPPORT,0,81,47,70,6,2,4,4,3,DTiiU7C_4mYGDV2nzShRHAT_QkBOVMroU43p6FYZLNuzcvQ,221,KennKun,False,200,UTILITY,45,2342,16687,6797,4577,20770,5695,2162,14,168,157,8,0,41,41,1049,1,3,6,0,0,65,3,7,22,False,0,204,0,0.0,,0,0,0,0,1,3,174.1205066662649,0.1309032816571791,0,6,1,0,1,1546.9987724939813,1156.1893628563294,0,6740.09814453125,0,0,39,0.0,0,0,0,0,0,0,2342.2685816622234,0.0,234.72026006293544,0,3,0,0,0.0,0,0,1.3333333333333333,0,0.26666666666666666,0,,0,0.0,0,1,1,0,5,1,0,0,0,4.0,0,1,0.0,0,0,0,0,2065,0,1,0,0,0,6,1,0,0,0,0,0,1,0,11,29,0,0,1,,19,0,0,0,8,0,1,2,0,0,1,0.05851257885210359,0,2,,0,0,2,3,5,0,0,0.10605311393737793,1.6783426690498215,7,3,0,5001,5008,5007,"[{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 1582, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 357, 'var3': 0}, {'perk': 8234, 'var1': 22363, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 660, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}, {'perk': 8139, 'var1': 761, 'var2': 0, 'var3': 0}], 'style': 8100}]",0.19440919766911918,,,,738.0633885780736,,1.0,1.0
